row_type,direction,contrast_id,control_config,treatment_config,temperature,branch,metric,status,seed,control_status,treatment_status,requested_samples,control_quality_count,treatment_quality_count,control_value,treatment_value,difference,defined_seed_count,expected_seed_count,mean_difference,sample_sd
seed,clean_temperature_minus_raw_loo_temperature,primary,e_ce_raw_t050,e_ce_clean_t050,0.5,released_comparable,validity,completed,2100,completed,completed,100,,,0.98,0.96,-0.02,,,,
seed,clean_temperature_minus_raw_loo_temperature,primary,e_ce_raw_t050,e_ce_clean_t050,0.5,released_comparable,validity,completed,2101,completed,completed,100,,,1.0,0.99,-0.01,,,,
summary,clean_temperature_minus_raw_loo_temperature,primary,e_ce_raw_t050,e_ce_clean_t050,0.5,released_comparable,validity,completed,,,,,,,,,,2,2,-0.015,0.007071067811865475
seed,clean_temperature_minus_raw_loo_temperature,primary,e_ce_raw_t050,e_ce_clean_t050,0.5,released_comparable,uniqueness,completed,2100,completed,completed,100,,,0.9795918367346939,1.0,0.0204081632653061,,,,
seed,clean_temperature_minus_raw_loo_temperature,primary,e_ce_raw_t050,e_ce_clean_t050,0.5,released_comparable,uniqueness,completed,2101,completed,completed,100,,,0.98,1.0,0.02,,,,
summary,clean_temperature_minus_raw_loo_temperature,primary,e_ce_raw_t050,e_ce_clean_t050,0.5,released_comparable,uniqueness,completed,,,,,,,,,,2,2,0.02020408163265305,0.0002886150127291872
seed,clean_temperature_minus_raw_loo_temperature,primary,e_ce_raw_t050,e_ce_clean_t050,0.5,released_comparable,quality,completed,2100,completed,completed,100,45,45,0.45,0.45,0.0,,,,
seed,clean_temperature_minus_raw_loo_temperature,primary,e_ce_raw_t050,e_ce_clean_t050,0.5,released_comparable,quality,completed,2101,completed,completed,100,48,59,0.48,0.59,0.11,,,,
summary,clean_temperature_minus_raw_loo_temperature,primary,e_ce_raw_t050,e_ce_clean_t050,0.5,released_comparable,quality,completed,,,,,,,,,,2,2,0.055,0.07778174593052023
seed,clean_temperature_minus_raw_loo_temperature,primary,e_ce_raw_t050,e_ce_clean_t050,0.5,released_comparable,diversity,completed,2100,completed,completed,100,,,0.897171686112151,0.890624534033429,-0.006547152078722,,,,
seed,clean_temperature_minus_raw_loo_temperature,primary,e_ce_raw_t050,e_ce_clean_t050,0.5,released_comparable,diversity,completed,2101,completed,completed,100,,,0.8896074438170272,0.892243448468867,0.0026360046518398,,,,
summary,clean_temperature_minus_raw_loo_temperature,primary,e_ce_raw_t050,e_ce_clean_t050,0.5,released_comparable,diversity,completed,,,,,,,,,,2,2,-0.0019555737134411,0.006493472396879134
seed,clean_temperature_minus_raw_loo_temperature,primary,e_ce_raw_t050,e_ce_clean_t050,0.5,strict,validity,completed,2100,completed,completed,100,,,0.63,0.6,-0.03,,,,
seed,clean_temperature_minus_raw_loo_temperature,primary,e_ce_raw_t050,e_ce_clean_t050,0.5,strict,validity,completed,2101,completed,completed,100,,,0.7,0.68,-0.02,,,,
summary,clean_temperature_minus_raw_loo_temperature,primary,e_ce_raw_t050,e_ce_clean_t050,0.5,strict,validity,completed,,,,,,,,,,2,2,-0.025,0.007071067811865475
seed,clean_temperature_minus_raw_loo_temperature,primary,e_ce_raw_t050,e_ce_clean_t050,0.5,strict,uniqueness,completed,2100,completed,completed,100,,,1.0,1.0,0.0,,,,
seed,clean_temperature_minus_raw_loo_temperature,primary,e_ce_raw_t050,e_ce_clean_t050,0.5,strict,uniqueness,completed,2101,completed,completed,100,,,1.0,1.0,0.0,,,,
summary,clean_temperature_minus_raw_loo_temperature,primary,e_ce_raw_t050,e_ce_clean_t050,0.5,strict,uniqueness,completed,,,,,,,,,,2,2,0.0,0.0
seed,clean_temperature_minus_raw_loo_temperature,primary,e_ce_raw_t050,e_ce_clean_t050,0.5,strict,quality,completed,2100,completed,completed,100,33,30,0.33,0.3,-0.03,,,,
seed,clean_temperature_minus_raw_loo_temperature,primary,e_ce_raw_t050,e_ce_clean_t050,0.5,strict,quality,completed,2101,completed,completed,100,36,39,0.36,0.39,0.03,,,,
summary,clean_temperature_minus_raw_loo_temperature,primary,e_ce_raw_t050,e_ce_clean_t050,0.5,strict,quality,completed,,,,,,,,,,2,2,0.0,0.042426406871192854
seed,clean_temperature_minus_raw_loo_temperature,primary,e_ce_raw_t050,e_ce_clean_t050,0.5,strict,diversity,completed,2100,completed,completed,100,,,0.8792814931724534,0.8744203593767881,-0.0048611337956653,,,,
seed,clean_temperature_minus_raw_loo_temperature,primary,e_ce_raw_t050,e_ce_clean_t050,0.5,strict,diversity,completed,2101,completed,completed,100,,,0.8761100818153716,0.8778125833258306,0.001702501510459,,,,
summary,clean_temperature_minus_raw_loo_temperature,primary,e_ce_raw_t050,e_ce_clean_t050,0.5,strict,diversity,completed,,,,,,,,,,2,2,-0.00157931614260315,0.004641191034195933
seed,clean_temperature_minus_raw_loo_temperature,secondary,mask_ce_raw_t050,mask_ce_clean_t050,0.5,released_comparable,validity,completed,2100,completed,completed,100,,,0.99,0.98,-0.01,,,,
seed,clean_temperature_minus_raw_loo_temperature,secondary,mask_ce_raw_t050,mask_ce_clean_t050,0.5,released_comparable,validity,completed,2101,completed,completed,100,,,0.99,0.99,0.0,,,,
summary,clean_temperature_minus_raw_loo_temperature,secondary,mask_ce_raw_t050,mask_ce_clean_t050,0.5,released_comparable,validity,completed,,,,,,,,,,2,2,-0.005,0.007071067811865475
seed,clean_temperature_minus_raw_loo_temperature,secondary,mask_ce_raw_t050,mask_ce_clean_t050,0.5,released_comparable,uniqueness,completed,2100,completed,completed,100,,,1.0,0.9897959183673469,-0.0102040816326531,,,,
seed,clean_temperature_minus_raw_loo_temperature,secondary,mask_ce_raw_t050,mask_ce_clean_t050,0.5,released_comparable,uniqueness,completed,2101,completed,completed,100,,,0.98989898989899,1.0,0.01010101010101,,,,
summary,clean_temperature_minus_raw_loo_temperature,secondary,mask_ce_raw_t050,mask_ce_clean_t050,0.5,released_comparable,uniqueness,completed,,,,,,,,,,2,2,-5.153576582155e-05,0.014357868057488088
