epoch,step,train_loss
0,0,2.252887725830078
0,1,2.5718395709991455
0,2,2.3852686882019043
0,3,2.5474178791046143
0,4,2.480158567428589
0,5,2.1892526149749756
0,6,1.869971752166748
0,7,2.0117223262786865
0,8,1.9170889854431152
0,9,2.213855028152466
0,10,2.335649251937866
0,11,1.9152333736419678
0,12,1.3737119436264038
0,13,1.5056408643722534
0,14,1.6723649501800537
0,15,1.8560397624969482
0,16,1.3927706480026245
0,17,1.4329169988632202
0,18,1.24494469165802
0,19,1.3877745866775513
